,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Cavalcante,0,BR,1591749708,60,-13.8,-47.46,293.3,1.86
1,Rikitea,1,PF,1591749709,81,-23.12,-134.97,297.74,4.98
2,Khatanga,23,RU,1591749711,39,71.97,102.5,285.11,5.86
3,Ilulissat,100,GL,1591749712,74,69.22,-51.1,276.15,1.5
4,Cidreira,100,BR,1591749598,86,-30.18,-50.21,289.19,1.15
5,Pevek,100,RU,1591749714,49,69.7,170.31,283.0,4.09
6,Barrow,90,US,1591749423,81,71.29,-156.79,273.15,3.6
7,Vaini,75,TO,1591749717,88,-21.2,-175.2,298.15,3.6
8,Albany,0,US,1591749708,47,42.6,-73.97,296.48,1.79
9,Verāval,11,IN,1591749719,79,20.9,70.37,302.61,3.23
10,Kaitangata,15,NZ,1591749720,58,-46.28,169.85,286.21,5.39
11,Avera,75,US,1591749722,83,33.19,-82.53,299.15,1.5
12,Jamestown,1,US,1591749723,48,42.1,-79.24,301.15,2.6
13,Dikson,100,RU,1591749724,100,73.51,80.55,274.38,4.95
14,Ushuaia,40,AR,1591749726,80,-54.8,-68.3,275.15,2.6
15,Berlevåg,30,NO,1591749597,69,70.86,29.09,278.41,6.88
16,Hobart,75,AU,1591749587,57,-42.88,147.33,284.26,3.6
17,North Bend,90,US,1591749729,68,43.41,-124.22,291.15,8.2
18,Cururupu,4,BR,1591749730,94,-1.83,-44.87,296.96,1.0
19,Punta Arenas,42,CL,1591749732,80,-53.15,-70.92,275.15,1.0
20,Nuuk,100,GL,1591749733,86,64.18,-51.72,278.15,2.68
21,Flin Flon,3,CA,1591749734,39,54.77,-101.86,290.71,3.56
22,Buala,23,SB,1591749592,68,-8.14,159.59,303.29,3.12
23,Cape Town,75,ZA,1591749579,87,-33.93,18.42,288.15,10.3
24,Saint Anthony,75,US,1591749646,83,45.02,-93.22,296.15,2.6
25,Seinäjoki,0,FI,1591749739,83,62.79,22.83,282.04,1.48
26,Vostok,22,RU,1591749740,45,46.49,135.88,295.42,4.45
27,Airai,35,TL,1591749741,74,-8.93,125.41,292.45,2.29
28,Comodoro Rivadavia,0,AR,1591749743,51,-45.87,-67.5,283.15,11.8
29,Yellowknife,90,CA,1591749744,66,62.46,-114.35,282.15,6.2
30,Talnakh,75,RU,1591749745,93,69.49,88.4,280.15,6.0
31,Bredasdorp,0,ZA,1591749746,93,-34.53,20.04,280.15,2.02
32,Bluff,47,NZ,1591749748,81,-46.6,168.33,285.37,3.58
33,Río Gallegos,75,AR,1591749562,80,-51.62,-69.22,275.15,5.1
34,Vilyuysk,100,RU,1591749750,56,63.76,121.62,287.08,4.6
35,Arraial do Cabo,0,BR,1591749752,88,-22.97,-42.03,295.79,8.59
36,New Norfolk,100,AU,1591749753,72,-42.78,147.06,284.26,2.24
37,Yangjiang,100,CN,1591749754,74,21.85,111.97,303.15,4.77
38,Yanam,100,IN,1591749755,84,16.73,82.22,299.98,2.51
39,Pundaguitan,74,PH,1591749757,69,6.37,126.17,302.01,1.53
40,Butaritari,9,KI,1591749758,77,3.07,172.79,301.35,6.18
41,Souillac,75,MU,1591749759,73,-20.52,57.52,295.15,7.2
42,Bengkulu,4,ID,1591749679,76,-3.8,102.27,299.55,1.46
43,Saint George,1,US,1591749617,10,37.1,-113.58,302.59,3.6
44,Puerto Ayora,79,EC,1591749763,86,-0.74,-90.35,296.48,2.68
45,Pālampur,0,IN,1591749764,41,32.12,76.53,296.23,2.28
46,Assiniboia,98,CA,1591749568,60,49.63,-105.98,287.59,2.34
47,Dandong,100,CN,1591749767,53,40.13,124.39,296.45,1.68
48,Grand Gaube,2,MU,1591749768,81,-20.01,57.66,292.59,2.24
49,Mataura,31,NZ,1591749769,81,-46.19,168.86,285.37,3.58
50,Noumea,90,NC,1591749770,61,-22.28,166.46,298.15,8.2
51,Port Alfred,0,ZA,1591749772,34,-33.59,26.89,297.04,1.34
52,Atuona,85,PF,1591749773,77,-9.8,-139.03,300.38,9.45
53,Sørland,22,NO,1591749640,77,67.67,12.69,280.27,6.32
54,Bambous Virieux,75,MU,1591749775,73,-20.34,57.76,295.15,7.2
55,Dwārka,1,IN,1591749627,80,22.24,68.97,302.64,4.68
56,Hulan,100,CN,1591749778,50,45.98,126.6,298.71,2.76
57,Barcelos,16,PT,1591749779,87,41.54,-8.62,289.82,1.77
58,Avarua,97,CK,1591749780,69,-21.21,-159.78,299.15,6.2
59,Rocha,0,UY,1591749782,90,-34.48,-54.33,281.84,1.21
60,Pudozh,100,RU,1591749783,96,61.81,36.53,289.99,1.1
61,Portland,90,US,1591749506,72,45.52,-122.68,291.15,1.5
62,Hilo,90,US,1591749786,69,19.73,-155.09,301.15,3.6
63,Novoalekseyevskaya,100,RU,1591749787,88,44.82,40.93,291.18,2.47
64,Broadford,61,AU,1591749788,98,-37.2,145.07,284.26,0.89
65,Maniitsoq,100,GL,1591749789,81,65.42,-52.9,279.03,3.05
66,Castro,74,BR,1591749791,95,-24.79,-50.01,289.84,2.77
67,Arlit,0,NE,1591749792,10,18.74,7.39,308.15,3.73
68,Faanui,36,PF,1591749793,79,-16.48,-151.75,299.19,7.93
69,Fagersta,0,SE,1591749794,92,60.0,15.79,283.71,0.68
