,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Ushuaia,3,AR,1595280902,86,-54.8,-68.3,273.15,1.5
1,Buin,75,CL,1595280972,54,-33.73,-70.75,289.15,3.1
2,Rikitea,92,PF,1595280973,59,-23.12,-134.97,293.28,5.56
3,Saint Paul Harbor,1,US,1595280974,46,57.79,-152.41,296.15,6.7
4,Picayune,92,US,1595280976,77,30.53,-89.68,305.93,4.03
5,Barrow,90,US,1595280959,86,71.29,-156.79,274.15,2.6
6,Payo,48,ID,1595280978,94,-3.75,103.64,295.39,0.99
7,Kapaa,90,US,1595280980,74,22.08,-159.32,301.15,5.7
8,Busselton,76,AU,1595280981,65,-33.65,115.33,283.71,6.32
9,Bolo,20,PH,1595280982,84,13.79,120.98,298.83,2.76
10,Hambantota,100,LK,1595280983,79,6.12,81.12,299.99,5.21
11,Punta Arenas,90,CL,1595280806,95,-53.15,-70.92,273.15,2.6
12,Vaini,20,TO,1595280873,73,-21.2,-175.2,296.15,2.1
13,Qaanaaq,98,GL,1595280987,72,77.48,-69.36,281.96,0.28
14,Leshukonskoye,0,RU,1595280989,81,64.9,45.76,287.61,2.03
15,Kupang,20,ID,1595280990,69,-10.17,123.58,296.15,4.6
16,Havøysund,75,NO,1595280934,100,71.0,24.66,284.15,4.6
17,Bluff,92,NZ,1595280992,83,-46.6,168.33,277.04,1.34
18,Te Anau,88,NZ,1595280930,89,-45.42,167.72,279.12,1.5
19,Rawson,91,AR,1595280944,80,-43.3,-65.1,280.32,8.87
20,Puerto del Rosario,20,ES,1595280996,69,28.5,-13.86,297.15,7.7
21,Hermanus,0,ZA,1595280998,78,-34.42,19.23,285.93,6.02
22,Tagusao,85,PH,1595280999,78,9.19,117.81,299.72,2.61
23,Yerbogachën,44,RU,1595281000,76,61.28,108.01,284.11,1.69
24,Meadow Lake,20,US,1595281001,21,34.8,-106.54,309.26,1.5
25,Aripuanã,9,BR,1595281003,45,-9.17,-60.63,301.29,0.91
26,Marzuq,98,YE,1595281004,43,14.4,46.47,301.54,2.01
27,New Norfolk,88,AU,1595281005,90,-42.78,147.06,282.59,1.34
28,Ahipara,69,NZ,1595281007,86,-35.17,173.17,288.88,5.15
29,Itarema,87,BR,1595281008,76,-2.92,-39.92,299.22,6.92
30,Houston,20,US,1595280857,83,29.76,-95.36,302.15,3.6
31,Imeni Poliny Osipenko,100,RU,1595281010,97,52.42,136.49,290.06,1.34
32,Hilo,75,US,1595280809,58,19.73,-155.09,301.15,4.1
33,Zhicheng,100,CN,1595281013,93,30.3,111.5,297.04,0.57
34,Saint-Pierre,75,RE,1595281014,63,-21.34,55.48,292.15,4.1
35,Beckley,75,US,1595280960,43,37.78,-81.19,306.15,3.6
36,Jamestown,1,US,1595280793,47,42.1,-79.24,299.82,6.2
37,Mataura,70,NZ,1595281018,83,-46.19,168.86,277.04,1.34
38,Porosozero,99,RU,1595281019,59,62.72,32.73,290.91,1.4
39,Bilma,23,NE,1595281021,20,18.69,12.92,307.61,4.14
40,Al Bardīyah,0,LY,1595281022,85,31.76,25.09,295.91,5.46
41,Cap Malheureux,57,MU,1595281023,63,-19.98,57.61,293.15,2.24
42,Rájec-Jestřebí,1,CZ,1595281025,80,49.41,16.64,293.15,1.5
43,Belmonte,75,BR,1595281026,83,-15.86,-38.88,296.15,4.1
44,Nouadhibou,0,MR,1595281027,69,20.93,-17.03,299.15,1.5
45,Luocheng,100,CN,1595281028,93,29.38,104.03,293.27,0.71
46,Olafsvik,31,IS,1595281030,73,64.89,-23.71,283.02,1.57
47,Grand Gaube,67,MU,1595281031,63,-20.01,57.66,293.15,2.24
48,Kruisfontein,97,ZA,1595281032,92,-34.0,24.73,288.46,1.63
49,Bow Island,75,CA,1595281033,47,49.87,-111.37,297.15,7.2
50,Carnarvon,0,AU,1595281034,76,-24.87,113.63,285.15,3.1
51,Marathon,75,US,1595280938,49,44.9,-89.77,296.15,4.1
52,Butaritari,26,KI,1595280812,68,3.07,172.79,301.37,2.34
53,Ankazobe,75,MG,1595281038,93,-18.32,47.12,284.15,2.6
54,Saskylakh,65,RU,1595281040,56,71.92,114.08,285.9,2.42
55,Hobart,75,AU,1595280812,87,-42.88,147.33,282.59,2.6
56,Castro,0,BR,1595281042,84,-24.79,-50.01,287.17,1.88
57,Arraial do Cabo,0,BR,1595280911,83,-22.97,-42.03,297.15,5.7
58,Souillac,75,MU,1595280868,60,-20.52,57.52,294.15,5.1
59,Tautira,20,PF,1595280884,69,-17.73,-149.15,300.15,3.6
60,Bredasdorp,7,ZA,1595281047,87,-34.53,20.04,289.15,3.6
61,Torbay,75,CA,1595281048,69,47.67,-52.73,296.48,7.7
62,Atuona,42,PF,1595281049,77,-9.8,-139.03,299.85,7.11
63,Pizarro,100,CO,1595281051,87,4.95,-77.37,299.33,4.49
64,Port-Cartier,75,CA,1595280871,61,50.03,-66.87,298.15,8.7
65,Thompson,75,CA,1595281053,29,55.74,-97.86,299.15,1.5
66,Kaitangata,100,NZ,1595281054,68,-46.28,169.85,282.04,1.79
67,Khatanga,100,RU,1595280826,70,71.97,102.5,283.97,1.91
68,College,75,US,1595280830,56,64.86,-147.8,295.15,2.6
69,Moura,40,PT,1595281058,19,38.14,-7.45,305.15,2.6
70,Comodoro Rivadavia,90,AR,1595281059,93,-45.87,-67.5,278.15,4.6
71,Avarua,86,CK,1595281060,78,-21.21,-159.78,298.15,7.2
72,Quepos,75,CR,1595281062,57,9.42,-84.17,300.15,4.1
73,Humaitá,12,BR,1595280843,48,-7.51,-63.02,302.06,1.09
74,Manaure,75,CO,1595281064,70,11.78,-72.44,305.15,5.1
75,Kodinsk,53,RU,1595281065,76,58.69,99.18,283.44,0.84
76,Portland,20,US,1595280868,33,45.52,-122.68,305.93,4.6
77,Kutum,21,SD,1595281068,65,14.2,24.67,296.98,3.5
78,Kadhan,56,PK,1595281069,72,24.48,68.99,303.39,9.26
79,Marystown,86,CA,1595280972,81,47.17,-55.15,291.13,5.8
80,Osinniki,18,RU,1595281072,91,53.62,87.36,288.8,1.37
81,Kalabo,1,ZM,1595281073,58,-14.97,22.68,285.43,2.25
82,Mar del Plata,90,AR,1595280826,100,-38.0,-57.56,283.71,9.3
83,Yulara,90,AU,1595281075,93,-25.24,130.99,282.15,3.6
84,Kamenka,0,RU,1595281077,84,51.32,42.77,291.48,1.67
85,Raudeberg,75,NO,1595280846,81,61.99,5.14,285.15,7.7
86,Galle,100,LK,1595281079,87,6.04,80.22,299.34,3.23
87,Ingham,1,US,1595281080,51,42.6,-84.38,300.15,5.1
88,Lipari,0,IT,1595281025,71,38.47,14.95,297.59,1.34
89,Óbidos,22,BR,1595281083,62,-1.92,-55.52,300.62,0.76
90,Lebu,94,CL,1595281084,84,-37.62,-73.65,284.06,4.64
